timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,humidity,dew_point,apparent_temp,precipitation,rain,pressure,cloud_cover,wind_speed,wind_dir,hour,day,month,dayofweek,is_weekend,hour_sin,hour_cos,day_sin,day_cos,co_rolling_mean_3,co_rolling_std_3,no_rolling_mean_3,no_rolling_std_3,no2_rolling_mean_3,no2_rolling_std_3,o3_rolling_mean_3,o3_rolling_std_3,so2_rolling_mean_3,so2_rolling_std_3,pm2_5_rolling_mean_3,pm2_5_rolling_std_3,pm10_rolling_mean_3,pm10_rolling_std_3,nh3_rolling_mean_3,nh3_rolling_std_3,aqi_lag_1,aqi_lag_3,aqi_lag_6,pm2_5_lag_1,pm2_5_lag_3,pm2_5_lag_6,pm10_lag_1,pm10_lag_3,pm10_lag_6,no2_to_o3_ratio,no2_to_so2,temp_humidity_index,pressure_change,rolling_pm2_5,rolling_temp
2025-10-11 20:00:00+00:00,2,98.61,0.0,0.05,63.86,0.19,7.53,24.4,0.0,26.9,68.0,20.6,30.0,0.0,0.0,1012.5,1.0,7.2,288.0,20,11,10,5,1,-0.8660254037844386,0.5000000000000001,0.7907757369376989,-0.6121059825476626,98.49666666666667,0.10016652802426391,0.0,0.0,0.05333333333333334,0.005773502690969736,63.42666666666667,0.42063444144918866,0.18333333333333335,0.005773502688026285,7.523333333333333,0.020816659990094615,24.483333333333338,0.1619670748237474,0.0,0.0,2.0,2.0,2.0,7.5,7.58,7.55,24.38,24.95,25.25,0.0007829627187133932,0.26315650970258053,18.291999999999998,0.6000000000000227,7.523333333333333,27.600000000000005
2025-10-12 07:00:00+00:00,2,100.76,0.01,0.07,70.05,0.34,12.29,42.54,0.0,23.6,88.0,21.6,27.6,0.0,0.0,1013.3,0.0,4.8,335.0,7,12,10,6,1,0.9659258262890683,-0.25881904510252063,0.6513724827222223,-0.758758122692791,100.29666666666667,0.45059220292384394,0.01,0.0,0.07,0.0,69.10333333333334,0.9500175436966369,0.31666666666666665,0.025166114783360966,11.553333333333333,0.7350056689123118,40.410000000000004,2.181719505343055,0.0,0.0,2.0,2.0,2.0,11.55,10.24,8.93,40.51,35.97,30.12,0.000999286209860297,0.2058817474066253,20.768,0.5,11.553333333333333,23.63333333333334
2025-10-13 22:00:00+00:00,3,131.79,0.0,0.11,104.0,1.08,29.44,73.69,0.0,26.3,70.0,20.4,29.4,0.0,0.0,1012.6,0.0,6.2,291.0,22,13,10,0,0,-0.5000000000000004,0.8660254037844384,0.48530196253108104,-0.8743466161445821,131.62,0.14933184520523046,0.0,0.0,0.11333333333333333,0.005773502690996344,102.97666666666667,0.9053360333700096,1.0933333333333335,0.02309401076671144,29.516666666666666,0.08020806277123882,74.09666666666668,0.4050102879293822,0.0,0.0,3.0,3.0,3.0,29.51,29.58,29.35,74.1,74.8,75.69,0.0010576922975221894,0.10185175754466894,18.41,0.0,29.516666666666666,27.000000000000004
2025-09-18 16:00:00+00:00,2,82.79,0.0,0.08,38.91,0.3,6.81,27.5,0.0,29.1,74.0,23.9,33.3,0.0,0.0,1003.9,85.0,12.1,227.0,16,18,9,3,0,-0.8660254037844385,-0.5000000000000004,-0.4853019625310808,-0.8743466161445822,83.04,0.2551470164417229,0.0,0.0,0.08,0.0,39.00333333333333,0.1530795000418014,0.3,0.0,6.866666666666667,0.05131601439458767,27.983333333333338,0.42712215270788656,0.0,0.0,2.0,2.0,2.0,6.91,6.86,6.84,28.14,28.47,28.63,0.0020560266755068964,0.26666577778074074,21.534000000000002,-0.10000000000002274,6.866666666666667,29.400000000000002
2025-10-08 12:00:00+00:00,2,90.33,0.01,0.04,53.02,0.07,8.82,44.15,0.0,32.1,36.0,15.0,34.8,0.0,0.0,1012.5,0.0,4.5,203.0,12,8,10,2,0,1.2246467991473532e-16,-1.0,0.9987165071710528,-0.05064916883871264,90.45,0.10583005246538747,0.01,0.0,0.03333333333333333,0.00577350269096104,53.01666666666667,0.05507570547362637,0.07,0.0,8.46,0.3758989225839057,41.75000000000001,2.451530134425375,0.0,0.0,2.0,2.0,2.0,8.49,7.55,6.83,41.85,35.86,32.01,0.0007544322754727975,0.5714204082798817,11.556000000000001,-0.7999999999999545,8.46,30.733333333333338
2025-09-18 18:00:00+00:00,2,83.03,0.0,0.08,39.62,0.3,6.65,27.11,0.0,28.3,80.0,24.6,33.1,0.0,0.0,1004.4,99.0,10.7,213.0,18,18,9,3,0,-1.0,-1.8369701987210297e-16,-0.4853019625310808,-0.8743466161445822,82.93333333333334,0.12662279941815255,0.0,0.0,0.08,0.0,39.26666666666667,0.3550117368947879,0.3,0.0,6.72,0.08185352771879092,27.21666666666667,0.24785748593459445,0.0,0.0,2.0,2.0,2.0,6.7,6.91,6.83,27.04,28.14,28.63,0.002019182180232656,0.26666577778074074,22.64,0.5,6.72,28.666666666666668
2025-10-02 21:00:00+00:00,1,120.75,0.0,1.87,56.39,2.04,4.68,10.34,0.08,29.6,71.0,23.7,33.8,0.0,0.0,1005.4,14.0,11.2,84.0,21,2,10,3,0,-0.7071067811865477,0.7071067811865474,0.39435585511331855,0.9189578116202306,117.94666666666666,2.756271636346839,0.0,0.0,1.6933333333333334,0.1625833119767557,58.21,1.6693711390818078,1.6833333333333336,0.3262412195497292,4.603333333333334,0.0750555349929689,10.103333333333337,0.20647840887254554,0.07666666666666666,0.005773502691896799,1.0,2.0,2.0,4.53,4.76,5.16,9.96,10.25,10.06,0.033161907551659736,0.9166662173204817,21.016,0.39999999999997726,4.603333333333334,30.0
2025-09-25 20:00:00+00:00,2,92.55,0.0,0.06,46.49,0.12,6.77,26.0,0.0,27.5,82.0,24.2,32.6,0.0,0.0,1005.8,0.0,7.5,233.0,20,25,9,3,0,-0.8660254037844386,0.5000000000000001,-0.9377521321470804,0.3473052528448203,92.74333333333334,0.21197484126381858,0.0,0.0,0.06,0.0,46.67666666666667,0.18502252115175763,0.12333333333333334,0.005773502691899509,6.926666666666667,0.1550268793897851,26.69333333333333,0.7000952316174107,0.0,0.0,2.0,2.0,2.0,6.93,7.2,7.52,26.68,27.88,29.01,0.001290600101299202,0.49999583336805525,22.55,0.599999999999909,6.926666666666667,28.03333333333333
2025-10-03 03:00:00+00:00,1,122.61,0.02,2.88,41.0,2.2,5.42,10.25,0.02,27.6,79.0,23.6,32.2,0.0,0.0,1005.8,18.0,8.3,33.0,3,3,10,4,0,0.7071067811865476,0.7071067811865476,0.5712682150947923,0.8207634412072763,125.74666666666667,2.896382801586834,0.006666666666666685,0.011547005383785601,2.813333333333333,0.0585946527708551,43.096666666666664,2.146633022510922,2.51,0.30999999999994926,5.733333333333334,0.28589042189816893,10.566666666666672,0.31501322723110753,0.029999999999999995,0.010000000000000573,1.0,1.0,1.0,5.8,5.91,4.68,10.57,11.23,10.34,0.07024390072575852,1.309090314049857,21.804000000000002,0.09999999999990905,5.733333333333334,27.900000000000002
2025-09-14 19:00:00+00:00,1,75.42,0.0,0.06,33.23,0.24,3.35,8.48,0.0,27.6,83.0,24.5,32.0,0.0,0.0,1007.3,13.0,13.6,244.0,19,14,9,6,1,-0.9659258262890684,0.2588190451025203,0.29936312297335804,-0.9541392564000488,75.52666666666666,0.09451631252536853,0.0,0.0,0.06,0.0,33.24333333333333,0.02309401076751356,0.23,0.010000000000000281,3.3533333333333335,0.015275252316518361,8.296666666666669,0.1715614564327877,0.0,0.0,1.0,1.0,1.0,3.34,3.5,3.97,8.27,8.26,9.39,0.0018055972974541892,0.2499989583376736,22.908,0.599999999999909,3.3533333333333335,28.099999999999998
